Date,Open,High,Low,Close,Volume,Adj. Close
23-07-18,1812.209961,1819,1769.98999,1802,3888500,1802
24-07-18,1829.01001,1840,1809.380005,1829.23999,4278700,1829.23999
25-07-18,1829.300049,1863.839966,1822.640015,1863.609985,3738200,1863.609985
26-07-18,1839,1844.680054,1804.5,1808,9924400,1808
27-07-18,1876.050049,1880.050049,1806.530029,1817.27002,9681000,1817.27002
30-07-18,1827.329956,1829.5,1766.02002,1779.219971,6562300,1779.219971
31-07-18,1786.48999,1801.829956,1739.319946,1777.439941,5738700,1777.439941
01-08-18,1784,1798.439941,1776.02002,1797.170044,4153100,1797.170044
02-08-18,1788.77002,1836.560059,1786,1834.329956,4354700,1834.329956
03-08-18,1837.73999,1841,1821.5,1823.290039,3460500,1823.290039
06-08-18,1825.810059,1847.77002,1818.920044,1847.75,3391800,1847.75
07-08-18,1854.530029,1869.719971,1846.27002,1862.47998,3377500,1862.47998
08-08-18,1861,1891.51001,1854.5,1886.52002,3963000,1886.52002
09-08-18,1882,1914.569946,1877.47998,1898.52002,4849900,1898.52002
10-08-18,1888.51001,1899.5,1878.209961,1886.300049,3639900,1886.300049
13-08-18,1898.5,1925,1893.670044,1896.199951,5512600,1896.199951
14-08-18,1919.390015,1921.01001,1900,1919.650024,3986100,1919.650024
15-08-18,1909.550049,1916.209961,1869.790039,1882.619995,7700700,1882.619995
16-08-18,1903.939941,1905,1883.550049,1886.52002,3957100,1886.52002
17-08-18,1885.800049,1888,1855.550049,1882.219971,4104300,1882.219971
20-08-18,1890.569946,1891.75,1866.060059,1876.709961,2862000,1876.709961
21-08-18,1880,1897.75,1874.410034,1883.420044,3105600,1883.420044
22-08-18,1876.640015,1905.800049,1876.640015,1904.900024,3080500,1904.900024
23-08-18,1907.170044,1919.5,1900.76001,1902.900024,3563000,1902.900024
24-08-18,1910.51001,1916.01001,1902.540039,1905.390015,2800900,1905.390015
27-08-18,1915,1927.699951,1909.280029,1927.680054,3569000,1927.680054
28-08-18,1937.72998,1941.780029,1928.819946,1932.819946,3100700,1932.819946
29-08-18,1953.449951,1998.689941,1948.939941,1998.099976,6531800,1998.099976
30-08-18,1997.420044,2025.569946,1986.900024,2002.380005,7277300,2002.380005
31-08-18,2007,2022.380005,2004.73999,2012.709961,4204400,2012.709961
04-09-18,2026.5,2050.5,2013,2039.51001,5721100,2039.51001
05-09-18,2038.109985,2040.380005,1989.890015,1994.819946,8220600,1994.819946
06-09-18,2006.51001,2007.5,1935.209961,1958.310059,7488700,1958.310059
