timestamp,open,high,low,close,volume
2018-10-18 09:35:00,110.1000,110.3100,109.9000,110.0400,1056554
2018-10-17 16:00:00,110.7200,110.8300,110.6100,110.7200,1030863
2018-10-17 15:55:00,110.4800,110.8500,110.3900,110.7200,596174
2018-10-17 15:50:00,110.4400,110.6550,110.3200,110.4800,444241
2018-10-17 15:45:00,110.7500,110.8350,110.3700,110.4600,308679
2018-10-17 15:40:00,110.5950,110.8000,110.5700,110.7800,188747
2018-10-17 15:35:00,110.7850,110.8600,110.5300,110.5950,354150
2018-10-17 15:30:00,110.7149,110.8500,110.6950,110.8000,237845
2018-10-17 15:25:00,110.5350,110.7600,110.5300,110.7100,275211
2018-10-17 15:20:00,110.6200,110.6400,110.3800,110.5288,219957
2018-10-17 15:15:00,110.7700,110.7700,110.6200,110.6200,306424
2018-10-17 15:10:00,110.7700,110.8500,110.6700,110.8000,321550
2018-10-17 15:05:00,110.8400,110.9200,110.7100,110.7700,271927
2018-10-17 15:00:00,110.7900,110.9600,110.7900,110.8600,181226
2018-10-17 14:55:00,110.5800,110.8700,110.5420,110.8300,251852
2018-10-17 14:50:00,110.5500,110.6000,110.5000,110.6000,89720
2018-10-17 14:45:00,110.4550,110.6100,110.4550,110.5902,172513
2018-10-17 14:40:00,110.3200,110.4800,110.2100,110.4200,208436
2018-10-17 14:35:00,110.1800,110.4100,110.0900,110.2980,270677
2018-10-17 14:30:00,110.1700,110.3400,110.0800,110.2001,208912
2018-10-17 14:25:00,110.3800,110.3900,110.0500,110.1900,306688
2018-10-17 14:20:00,110.5000,110.5000,110.2700,110.4100,212513
2018-10-17 14:15:00,110.8650,110.8650,110.4700,110.5100,183592
2018-10-17 14:10:00,110.7000,110.9600,110.7000,110.8800,169970
2018-10-17 14:05:00,110.7700,110.7700,110.4800,110.6700,193153
2018-10-17 14:00:00,110.7500,110.8400,110.6400,110.7860,142911
2018-10-17 13:55:00,110.8300,110.9100,110.7300,110.7600,135375
2018-10-17 13:50:00,110.8300,110.9000,110.7400,110.8300,157905
2018-10-17 13:45:00,111.0600,111.0700,110.8100,110.8700,134877
2018-10-17 13:40:00,110.9400,111.1250,110.8926,111.0400,218040
2018-10-17 13:35:00,110.7000,110.9500,110.6000,110.9100,217030
2018-10-17 13:30:00,110.6900,110.7000,110.4700,110.6750,265134
2018-10-17 13:25:00,110.7050,110.7650,110.5899,110.7000,133046
2018-10-17 13:20:00,110.8500,110.9000,110.6450,110.6800,127101
2018-10-17 13:15:00,110.8100,111.0000,110.7600,110.8500,272916
2018-10-17 13:10:00,110.8400,110.9700,110.7700,110.8100,313839
2018-10-17 13:05:00,110.5000,110.8600,110.4700,110.8500,273715
2018-10-17 13:00:00,110.3100,110.5400,110.2800,110.4574,208644
2018-10-17 12:55:00,110.1900,110.3250,110.1850,110.2950,251267
