,city,job_title,company_name,summary,salary_lower,salary_upper
84,Mascot,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0
85,Mascot,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0
86,Mascot,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0
87,Mascot,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0
88,Mascot,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0
89,Mascot,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0
90,Parramatta,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0
91,Parramatta,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0
92,Parramatta,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,,
93,Parramatta,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0
94,Parramatta,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0
95,Parramatta,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0
96,Parramatta,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0
97,Parramatta,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0
98,Parramatta,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0
99,Parramatta,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0
100,Parramatta,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0
101,Parramatta,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0
102,Parramatta,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0
103,Parramatta,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0
104,Parramatta,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0
105,Surry Hills,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0
106,Surry Hills,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0
107,Surry Hills,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,,
108,Surry Hills,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0
109,Surry Hills,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0
110,Surry Hills,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0
111,Surry Hills,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0
112,Surry Hills,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0
113,Surry Hills,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0
114,Surry Hills,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0
115,Surry Hills,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0
116,Surry Hills,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0
117,Surry Hills,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0
118,Surry Hills,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0
119,Surry Hills,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0
120,Macquarie Park,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0
121,Macquarie Park,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0
122,Macquarie Park,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,,
123,Macquarie Park,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0
124,Macquarie Park,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0
125,Macquarie Park,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0
126,Macquarie Park,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0
127,Macquarie Park,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0
128,Macquarie Park,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0
129,Macquarie Park,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0
130,Macquarie Park,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0
131,Macquarie Park,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0
132,Macquarie Park,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0
133,Macquarie Park,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0
134,Macquarie Park,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0
135,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0
136,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0
137,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,,
138,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0
139,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0
140,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0
141,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0
142,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0
143,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0
144,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0
145,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0
146,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0
147,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0
148,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0
149,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0
150,Hills District,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0
151,Hills District,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0
152,Hills District,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,,
153,Hills District,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0
154,Hills District,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0
155,Hills District,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0
156,Hills District,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0
157,Hills District,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0
158,Hills District,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0
159,Hills District,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0
160,Hills District,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0
161,Hills District,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0
162,Hills District,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0
163,Hills District,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0
164,Hills District,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0
165,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0
166,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0
167,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,,
168,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0
169,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0
170,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0
171,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0
172,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0
173,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0
174,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0
175,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0
176,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0
177,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0
178,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0
179,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0
180,Sydney,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0
181,Sydney,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0
182,Sydney,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,,
183,Sydney,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0
184,Sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0
185,Sydney,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0
186,Sydney,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0
187,Sydney,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0
188,Sydney,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0
189,Sydney,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0
190,Sydney,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0
191,Sydney,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0
192,Sydney,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0
193,Sydney,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0
194,Sydney,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0
195,Melbourne,Data Scientist,Domain Group,As a Data Scientist,82500.0,112500.0
196,Melbourne,Data Scientist,ANZ Banking Group,As the Data Scientist,82500.0,112500.0
197,Melbourne,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,,
198,Melbourne,Junior Data Scientist,Intellify,We also believe great Data Scientist,80000.0,100000.0
199,Melbourne,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst or Junior Data Scientist,70000.0,90000.0
200,Melbourne,Data Scientist,Investigations & Counter Terrorism,Data Scientist,82500.0,112500.0
201,Melbourne,Junior Data Scientist,Sirius People ,Opportunity to start your career in Data Scientist,70000.0,90000.0
202,Melbourne,Data Scientist,DataRobot,Data Scientist,82500.0,112500.0
203,Melbourne,Data Scientist,Datasii,Experience as a Data Scientist,100000.0,115000.0
204,Melbourne,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,65000.0,110000.0
205,Melbourne,Data Scientist,Freshwater Group,The Data Scientist,82500.0,112500.0
206,Melbourne,Data Scientist,CPT Global,Strong experience working as a Data Scientist,82500.0,112500.0
207,Melbourne,Data Scientist,Ikon,Provide tangible support to Senior Data Scientist,82500.0,112500.0
208,Melbourne,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,82500.0,112500.0
209,Melbourne,Junior Data Scientist,HIVERY,Our team of Data Scientist,60000.0,85000.0
