,city,job_title,company_name,summary,salary
141,Macquarie+Park+NSW,Data Scientist,Caltex,"As a data scientist at Caltex, you’ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary
142,Macquarie+Park+NSW,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary
143,Macquarie+Park+NSW,Senior Data Scientist/ Machine learning engineer,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
144,Macquarie+Park+NSW,Data Scientist,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary
145,sydney+Inner+Suburbs+NSW,Data Scientist - Analytics,Domain Group,"As a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary
146,sydney+Inner+Suburbs+NSW,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary
147,sydney+Inner+Suburbs+NSW,BioMind Data Scientist/Engineer (Relocate to Beijing),biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary
148,sydney+Inner+Suburbs+NSW,Team Assistant with AI company,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 - $85,000 a year"
149,sydney+Inner+Suburbs+NSW,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 - $90,000 a year"
150,sydney+Inner+Suburbs+NSW,Junior data scientist/machine learning engineer,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
151,sydney+Inner+Suburbs+NSW,Customer Facing Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary
152,sydney+Inner+Suburbs+NSW,Data Scientist,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis – data mining, cleansing,...",salary
153,sydney+Inner+Suburbs+NSW,Data Scientist,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary
154,sydney+Inner+Suburbs+NSW,Ikon | Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary
155,sydney+Inner+Suburbs+NSW,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist – Predictive Modelling & Segmentation. As a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary
156,sydney+Inner+Suburbs+NSW,Data Scientist,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 - $110,000 a year"
157,sydney+Inner+Suburbs+NSW,Data Scientist,Caltex,"As a data scientist at Caltex, you’ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary
158,sydney+Inner+Suburbs+NSW,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary
159,sydney+Inner+Suburbs+NSW,Senior Data Scientist/ Machine learning engineer,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
160,sydney+Inner+Suburbs+NSW,Data Scientist,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary
161,Hills+District+NSW,Data Scientist - Analytics,Domain Group,"As a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary
162,Hills+District+NSW,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary
163,Hills+District+NSW,BioMind Data Scientist/Engineer (Relocate to Beijing),biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary
164,Hills+District+NSW,Team Assistant with AI company,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 - $85,000 a year"
165,Hills+District+NSW,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 - $90,000 a year"
166,Hills+District+NSW,Junior data scientist/machine learning engineer,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
167,Hills+District+NSW,Customer Facing Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary
168,Hills+District+NSW,Data Scientist,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis – data mining, cleansing,...",salary
169,Hills+District+NSW,Data Scientist,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary
170,Hills+District+NSW,Ikon | Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary
171,Hills+District+NSW,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist – Predictive Modelling & Segmentation. As a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary
172,Hills+District+NSW,Data Scientist,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 - $110,000 a year"
173,Hills+District+NSW,Data Scientist,Caltex,"As a data scientist at Caltex, you’ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary
174,Hills+District+NSW,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary
175,Hills+District+NSW,Senior Data Scientist/ Machine learning engineer,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
176,Hills+District+NSW,Data Scientist,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary
177,sydney+Central+Business+District+NSW,Data Scientist - Analytics,Domain Group,"As a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary
178,sydney+Central+Business+District+NSW,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary
179,sydney+Central+Business+District+NSW,BioMind Data Scientist/Engineer (Relocate to Beijing),biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary
180,sydney+Central+Business+District+NSW,Team Assistant with AI company,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 - $85,000 a year"
181,sydney+Central+Business+District+NSW,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 - $90,000 a year"
182,sydney+Central+Business+District+NSW,Junior data scientist/machine learning engineer,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
183,sydney+Central+Business+District+NSW,Customer Facing Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary
184,sydney+Central+Business+District+NSW,Data Scientist,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis – data mining, cleansing,...",salary
185,sydney+Central+Business+District+NSW,Data Scientist,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary
186,sydney+Central+Business+District+NSW,Ikon | Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary
187,sydney+Central+Business+District+NSW,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist – Predictive Modelling & Segmentation. As a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary
188,sydney+Central+Business+District+NSW,Data Scientist,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 - $110,000 a year"
189,sydney+Central+Business+District+NSW,Data Scientist,Caltex,"As a data scientist at Caltex, you’ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary
190,sydney+Central+Business+District+NSW,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary
191,sydney+Central+Business+District+NSW,Senior Data Scientist/ Machine learning engineer,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
192,sydney+Central+Business+District+NSW,Data Scientist,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary
193,New+South+Wales,Data Scientist - Analytics,Domain Group,"As a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary
194,New+South+Wales,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary
195,New+South+Wales,BioMind Data Scientist/Engineer (Relocate to Beijing),biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary
196,New+South+Wales,Team Assistant with AI company,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 - $85,000 a year"
197,New+South+Wales,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 - $90,000 a year"
198,New+South+Wales,Junior data scientist/machine learning engineer,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
199,New+South+Wales,Customer Facing Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver data science solutions for customers across a variety of...,salary
200,New+South+Wales,Data Scientist,CPT Global,"Strong experience working as a Data Scientist. Experience of working with large data sets, statistical techniques and analysis – data mining, cleansing,...",salary
201,New+South+Wales,Data Scientist,Freshwater Group,The Data Scientist will:. Manage data sets. A Data Scientist is required for a wholesale electricity retailer that connects its customers to the wholesale...,salary
202,New+South+Wales,Ikon | Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of data....",salary
203,New+South+Wales,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist – Predictive Modelling & Segmentation. As a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary
204,New+South+Wales,Data Scientist,Freelancer.com,"Proven experience as a data scientist or analyst. Experience in data mining. If this sounds like you, you will love life as a data scientist at Freelancer....","$65,000 - $110,000 a year"
205,New+South+Wales,Data Scientist,Caltex,"As a data scientist at Caltex, you’ll take us further by:. Our data scientists are responsible for developing models to deliver these outcomes, working together...",salary
206,New+South+Wales,Junior Data Analyst/Scientist,International Institute of Data & Analytics,"In data science and big data analytics, the IDA creates enablers for:. Leading the field of data science and analytics innovation, training and services by...",salary
207,New+South+Wales,Senior Data Scientist/ Machine learning engineer,Intellify,Being a senior data scientist at Intellify you are charged with both being a mentor and learning from fellow specialist data scientists in an ever evolving and...,"$120,000 - $160,000 a year"
208,New+South+Wales,Data Scientist,News Corp Australia,"Undertake proactive analysis of customer data processes that produce data driven analysis, reporting, insights and models....",salary
209,Melbourne+VIC,Data Scientist - Analytics,Domain Group,"As a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and data analysis to drive significant improvements to...",salary
210,Melbourne+VIC,Lead Data Scientist,Domain Group,"We are looking for a lead data scientist to help sales, product and business leadership make decisions with data, give consumers certainty and control when...",salary
211,Melbourne+VIC,BioMind Data Scientist/Engineer (Relocate to Beijing),biomind.ai,"The candidate is a skilled data scientist who will be building deep learning models for medical image diagnosis applications such as segmentation, localisation...",salary
212,Melbourne+VIC,Team Assistant with AI company,HIVERY,Our team of data scientists apply machine learning and sophisticated optimization techniques to develop simple-to-use solutions for the optimal business outcome...,"$60,000 - $85,000 a year"
213,Melbourne+VIC,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....","$70,000 - $90,000 a year"
214,Melbourne+VIC,Junior data scientist/machine learning engineer,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
