,city,job_title,company_name,summary,salary
28,Ultimo,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
29,Ultimo,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary
30,Ultimo,Data Analyst,Robert Half Australia,As the Data Analyst,$600 a week
31,Ultimo,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary
32,sydney,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...","$55,000 - $65,000 a year"
33,sydney,Data Analyst,ANZ Banking Group,Our Data Analyst,salary
34,sydney,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,salary
35,sydney,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary
36,sydney,Data Analyst,Amazon.com,As a Data Analyst,salary
37,sydney,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,salary
38,sydney,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary
39,sydney,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,"$70,000 - $90,000 a year"
40,sydney,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary
41,sydney,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,"$80,000 - $90,000 a year"
42,sydney,Data Analyst,Datasii,Extensive experience as a Data Analyst,"$70,000 - $90,000 a year"
43,sydney,Data Analyst,Munich Re,Data Analyst,salary
44,sydney,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
45,sydney,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary
46,sydney,Data Analyst,Robert Half Australia,As the Data Analyst,$600 a week
47,sydney,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary
48,Darlinghurst+NSW,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...","$55,000 - $65,000 a year"
49,Darlinghurst+NSW,Data Analyst,ANZ Banking Group,Our Data Analyst,salary
50,Darlinghurst+NSW,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,salary
51,Darlinghurst+NSW,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary
52,Darlinghurst+NSW,Data Analyst,Amazon.com,As a Data Analyst,salary
53,Darlinghurst+NSW,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,salary
54,Darlinghurst+NSW,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary
55,Darlinghurst+NSW,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,"$70,000 - $90,000 a year"
56,Darlinghurst+NSW,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary
57,Darlinghurst+NSW,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,"$80,000 - $90,000 a year"
58,Darlinghurst+NSW,Data Analyst,Datasii,Extensive experience as a Data Analyst,"$70,000 - $90,000 a year"
59,Darlinghurst+NSW,Data Analyst,Munich Re,Data Analyst,salary
60,Darlinghurst+NSW,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
61,Darlinghurst+NSW,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary
62,Darlinghurst+NSW,Data Analyst,Robert Half Australia,As the Data Analyst,$600 a week
63,Darlinghurst+NSW,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary
64,Barangaroo,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...","$55,000 - $65,000 a year"
65,Barangaroo,Data Analyst,ANZ Banking Group,Our Data Analyst,salary
66,Barangaroo,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,salary
67,Barangaroo,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary
68,Barangaroo,Data Analyst,Amazon.com,As a Data Analyst,salary
69,Barangaroo,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,salary
70,Barangaroo,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary
71,Barangaroo,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,"$70,000 - $90,000 a year"
72,Barangaroo,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary
73,Barangaroo,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,"$80,000 - $90,000 a year"
74,Barangaroo,Data Analyst,Datasii,Extensive experience as a Data Analyst,"$70,000 - $90,000 a year"
75,Barangaroo,Data Analyst,Munich Re,Data Analyst,salary
76,Barangaroo,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...","$80,000 - $100,000 a year"
