,city,job_title,company_name,summary,salary_lower,salary_upper
58,Darlinghurst,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
59,Darlinghurst,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
60,Darlinghurst,Data Scientist,Caltex, a Data Scientist,salary,
61,Darlinghurst,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
62,Darlinghurst,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
63,Darlinghurst,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
64,Barangaroo,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
65,Barangaroo,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
66,Barangaroo,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
67,Barangaroo,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
68,Barangaroo,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
69,Barangaroo,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
70,Barangaroo,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
71,Barangaroo,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
72,Barangaroo,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
73,Barangaroo,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
74,Barangaroo,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
75,Barangaroo,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
76,Barangaroo,Data Scientist,Caltex, a Data Scientist,salary,
77,Barangaroo,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
78,Barangaroo,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
79,Barangaroo,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
80,Mascot,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
81,Mascot,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
82,Mascot,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
83,Mascot,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
84,Mascot,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
85,Mascot,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
86,Mascot,Data Scientist,DataRobot,Customer Facing Data Scientists work with the sales team to develop client relationships and deliver Data Scientist,salary,
87,Mascot,Data Scientist,CPT Global,Strong experience working as a Data Scientist. Experience of working with large Data Scientist,salary,
88,Mascot,Data Scientist,Freshwater Group,The Data Scientist will:. Manage Data Scientist,salary,
89,Mascot,Data Scientist,Ikon,"Provide tangible support to Senior Data Scientists and the Data Science Manager in the preparation, analysis and visualization of Data Scientist",salary,
90,Mascot,Senior Data Scientist,Qantas Airways Limited,Senior Data Scientist â€“ Predictive Modelling & Segmentation.  a Senior Data Scientist you will be responsible for undertaking insights and modelling to...,salary,
91,Mascot,Data Scientist,Freelancer.com,Proven experience as a Data Scientist,"$65,000","$110,000"
92,Mascot,Data Scientist,Caltex, a Data Scientist,salary,
93,Mascot,Junior Data Scientist,International Institute of Data & Analytics,In Data Scientist,salary,
94,Mascot,Senior Data Scientist,Intellify,Being a senior Data Scientist,"$120,000","$160,000"
95,Mascot,Data Scientist,Sydney,Undertake proactive analysis of customer Data Scientist,salary,
96,Parramatta,Data Scientist,Domain Group," a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning and Data Scientist",salary,
97,Parramatta,Senior Data Scientist,Domain Group,We are looking for a lead Data Scientist,salary,
98,Parramatta,Data Scientist,biomind.ai,The candidate is a skilled Data Scientist,salary,
99,Parramatta,Junior Data Scientist,HIVERY,Our team of Data Scientist,"$60,000","$85,000"
100,Parramatta,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large Data Scientist","$70,000","$90,000"
101,Parramatta,Junior Data Scientist,Intellify,We also believe great Data Scientist,"$80,000","$100,000"
